iter	Logloss	TotalF1
0	0.6096360223	0.9157429862
1	0.540889094	0.9157429862
2	0.4825939798	0.9157429862
3	0.4365483677	0.9157429862
4	0.3988106231	0.9157429862
5	0.3667685843	0.9157429862
6	0.3414729929	0.9157429862
7	0.3199921442	0.9157429862
8	0.3021768685	0.9157429862
9	0.284392462	0.9157429862
10	0.2701445482	0.9157429862
11	0.2581154414	0.9157429862
12	0.2467995755	0.9157429862
13	0.2383421829	0.9157429862
14	0.2290612557	0.9157429862
15	0.2220835889	0.9157429862
16	0.2164389069	0.9157429862
17	0.2099495508	0.9157429862
18	0.2053494814	0.9157429862
19	0.2010022442	0.9157429862
20	0.1968259931	0.9157429862
21	0.1931155346	0.9157429862
22	0.1901610393	0.9157429862
23	0.1871663905	0.9157429862
24	0.1848481832	0.9159313187
25	0.1826449915	0.9163067675
26	0.1809239026	0.9167542017
27	0.1790765544	0.9178240087
28	0.1776149414	0.9192033995
29	0.1762650847	0.9208066917
30	0.1754524529	0.9217637174
31	0.1743534345	0.9230834225
32	0.1732957391	0.9242048859
33	0.1724217702	0.9250795876
34	0.1712722425	0.9257194471
35	0.1704605039	0.9260496663
36	0.169482674	0.9268546397
37	0.1688771574	0.9275482212
38	0.1680155393	0.9287944845
39	0.1672649875	0.9293083844
40	0.1666084103	0.9302697346
41	0.1657813051	0.9308640327
42	0.1650036962	0.9314073292
43	0.1642574974	0.9320463902
44	0.1636686124	0.9326173965
45	0.1629460379	0.9326816541
46	0.1626452197	0.9332790997
47	0.1620287725	0.9339587571
48	0.1614687332	0.9340068618
49	0.1610780312	0.9352212713
50	0.160702418	0.9351934331
51	0.1601911807	0.9354023112
52	0.159883451	0.9357780312
53	0.1595228229	0.936367532
54	0.1594207864	0.936601789
55	0.1592027495	0.9367786362
56	0.1589228543	0.9369944531
57	0.1587005516	0.9371019382
58	0.1582456189	0.9372664874
59	0.157793018	0.9376442025
60	0.1573315744	0.938221399
61	0.1571477118	0.9381634734
62	0.1567347353	0.9385735511
63	0.1564088587	0.9391346574
64	0.1561790993	0.9394069336
65	0.1558794391	0.9396776596
66	0.1556115378	0.9399925834
67	0.1553646394	0.9404572625
68	0.1551634757	0.9404276454
69	0.1550406436	0.9406231792
70	0.1548609791	0.9411476235
71	0.1546160729	0.9410880199
72	0.1545006763	0.9410880199
73	0.154374311	0.9412864201
74	0.1542821194	0.9413209407
75	0.1541278146	0.9414794148
76	0.1538974714	0.941449523
77	0.1537639882	0.9414838468
78	0.1537153266	0.9415137462
79	0.1535971173	0.9418720115
80	0.1534926247	0.9419058141
81	0.1533568678	0.9419020132
82	0.1533031767	0.9418081553
83	0.1532004018	0.9418120382
84	0.1530856852	0.9419095416
85	0.1530028367	0.9419095416
86	0.1527937938	0.9419395477
87	0.152712092	0.9419395477
88	0.1525601791	0.9420068088
89	0.1524061911	0.9419431992
90	0.1522405089	0.9420969301
91	0.1521536384	0.9421605468
92	0.1520314949	0.9423210129
93	0.1519212033	0.9424447174
94	0.1518789756	0.9425050392
95	0.1517872553	0.9423844361
96	0.1517511346	0.9425111507
97	0.1516130386	0.9424809914
98	0.1515386712	0.9424478153
99	0.151428546	0.9426981063
100	0.1513759654	0.942761344
101	0.1512583381	0.9426981063
102	0.1510003031	0.9429810855
103	0.1509922527	0.9429810855
104	0.1509248563	0.9427915841
105	0.1507720351	0.9430441655
106	0.1507134862	0.943233145
107	0.1506171264	0.943233145
108	0.1506170941	0.943233145
109	0.1505236393	0.9434217353
110	0.1504188972	0.9437013642
111	0.1503684813	0.9437013642
112	0.150261887	0.9436995941
113	0.1501491943	0.9437640614
114	0.1500147198	0.9437640614
115	0.1499022917	0.944076905
116	0.1498136849	0.9442017438
117	0.1497501276	0.9441393456
118	0.1495978948	0.9441699551
119	0.1494756231	0.9442005749
120	0.1494435405	0.9443560552
121	0.1492576596	0.9445737321
122	0.1491753983	0.9447597263
123	0.1491295578	0.9446981896
124	0.1490998774	0.9446674371
125	0.1489544312	0.9445737321
126	0.1488712002	0.9447609205
127	0.1487625524	0.9446366951
128	0.148744963	0.9446674371
129	0.1485792391	0.94482297
130	0.1484993611	0.9446680817
131	0.1484540094	0.9446059637
132	0.1483810395	0.9446674371
133	0.1482835455	0.9446052453
134	0.1482175004	0.9447609205
135	0.1480832135	0.94482297
136	0.1479989915	0.9448545453
137	0.1479488191	0.9446994052
138	0.1479106814	0.9447614234
139	0.1477025311	0.9447926264
140	0.1476378207	0.9450090776
141	0.1475088066	0.9454414037
142	0.1474636918	0.9454723541
143	0.1474191272	0.945503067
144	0.1472985207	0.9455956702
145	0.14726318	0.9455340329
146	0.1471685965	0.9455650094
147	0.1471184229	0.9456580037
148	0.1470581476	0.9456890233
149	0.1470074774	0.94581241
150	0.1468756452	0.9458434712
151	0.1467984719	0.9459356307
152	0.1466672289	0.9459356307
153	0.1465382276	0.9459660826
154	0.1464565507	0.946089808
155	0.1464565323	0.946089808
156	0.1463607463	0.946335484
157	0.1462632607	0.946335484
158	0.1462389546	0.946428009
159	0.1461700543	0.9465193096
160	0.1460466936	0.9464580753
161	0.145962754	0.9466416555
162	0.1459126326	0.9466416555
163	0.1457210944	0.9466742973
164	0.1455569659	0.9466729242
165	0.1454466609	0.9470112371
166	0.1454310905	0.9471350306
167	0.1452989937	0.947164615
168	0.1451344131	0.9470739926
169	0.1450632349	0.947105387
170	0.1450201867	0.9469533449
171	0.1449778278	0.9469533449
172	0.1449267336	0.9470459219
173	0.1447955864	0.9468906342
174	0.1447501489	0.9470426093
175	0.1446440027	0.9471960279
176	0.1445312209	0.9472569846
177	0.1445032606	0.9471960279
178	0.1444208625	0.9472274519
179	0.1443778051	0.9474102445
180	0.1443288816	0.9475025882
181	0.1442684845	0.9474102445
182	0.1442038939	0.9475025882
183	0.1440673929	0.947594932
184	0.1439323488	0.9475319038
185	0.1438802026	0.9475903603
186	0.1437050807	0.9477140905
187	0.143668799	0.9477722191
188	0.1435911704	0.9477406717
189	0.1435027327	0.9478959157
190	0.143391603	0.9478669283
191	0.1431591613	0.948051307
192	0.1431317876	0.9480829505
193	0.1430533892	0.9480829505
194	0.1429243671	0.948051307
195	0.1428848947	0.948051307
196	0.1428004879	0.9481118384
197	0.1427419565	0.9481118384
198	0.1427130325	0.9480801919
199	0.1426032252	0.9482615038
200	0.1425018656	0.948324894
201	0.1424136593	0.948324894
202	0.1423411369	0.948324894
203	0.1422485127	0.948264468
204	0.1421156079	0.9482931933
205	0.1420705603	0.9483535652
206	0.1420184749	0.9484456266
207	0.14198998	0.9485059333
208	0.1419490588	0.9485059333
209	0.1418712814	0.9485059333
210	0.1418551693	0.9485059333
211	0.1417925497	0.948537688
212	0.1417702517	0.9486582107
213	0.1417280014	0.9486297493
214	0.1416795439	0.9487502211
215	0.1415678447	0.9489342418
216	0.1415678431	0.9489342418
217	0.1415180883	0.9489624941
218	0.1414140909	0.9489906906
219	0.1412945268	0.9491145004
220	0.141214754	0.9492344761
221	0.1411775226	0.9492025472
222	0.14113796	0.9492025472
223	0.1410714204	0.9492344761
224	0.1409265889	0.9493862631
225	0.1409265449	0.9493862631
226	0.1408698238	0.9493583252
227	0.1408071592	0.9494182427
228	0.1407611667	0.9492944052
229	0.1406096705	0.9495059532
230	0.1405795987	0.9495059532
231	0.1404658607	0.9495379604
232	0.1403587228	0.9493583252
233	0.1403168282	0.9493583252
234	0.1402768666	0.9493583252
235	0.1402319216	0.9494781211
236	0.1401371506	0.9495379604
237	0.1400861725	0.9495379604
238	0.1400345193	0.9494781211
239	0.1399854699	0.9495379604
240	0.1399451181	0.949510126
241	0.1398423196	0.9495379604
242	0.139766719	0.949689568
243	0.1397058362	0.949689568
244	0.1396320497	0.949689568
245	0.1395989883	0.9497172442
246	0.1395096846	0.949689568
247	0.1394712755	0.949809001
248	0.1394449597	0.949809001
249	0.1393241447	0.9498686593
250	0.139241336	0.9499603909
251	0.1392010345	0.9499878595
252	0.139173514	0.9501390577
253	0.1390906956	0.9501116917
254	0.1390318608	0.9504140262
255	0.1389581584	0.9503545847
256	0.1388746907	0.9504835607
257	0.1388458872	0.9505107808
258	0.1387695229	0.9504190491
259	0.1387319187	0.9504785175
260	0.1386573361	0.9504190491
261	0.1385776256	0.950386811
262	0.1384888487	0.9503817982
263	0.1383979762	0.9504411878
264	0.1383560351	0.9505056823
265	0.1383060515	0.9505379472
266	0.1382404715	0.9506296285
267	0.1381947059	0.9506566912
268	0.1381360761	0.9506243997
269	0.1380706004	0.9506889946
270	0.1380384789	0.9506671249
271	0.137933021	0.9507536368
272	0.1378762787	0.9507859757
273	0.1378329884	0.9507265696
274	0.1377927375	0.9507265696
275	0.13774981	0.9507265696
276	0.1376967159	0.9507265696
277	0.1376501177	0.950694244
278	0.1376028048	0.9509046724
279	0.1375477791	0.9508453433
280	0.1374687508	0.9507806508
281	0.137370072	0.9507806508
282	0.1372784438	0.9508399533
283	0.1372513887	0.9509315843
284	0.1372348285	0.9509908234
285	0.1371537352	0.9510500242
286	0.1369938009	0.9513454561
287	0.1369365259	0.9513129975
288	0.1368298826	0.9513129975
289	0.1367250135	0.9513719568
290	0.1366446315	0.9516724747
291	0.136573072	0.9516523693
292	0.1365341587	0.9517112798
293	0.1364757286	0.9517701524
294	0.1364102035	0.9518877844
295	0.1363425125	0.9519465439
296	0.1363424694	0.9519465439
297	0.1362394064	0.951816177
298	0.1361626262	0.9520313147
299	0.1360902763	0.951992077
300	0.1360574199	0.951992077
301	0.1360416555	0.951992077
302	0.1360196095	0.9519660802
303	0.1359836002	0.9520832601
304	0.1358581779	0.9521158967
305	0.1358305	0.9520899487
306	0.1357867254	0.952141794
307	0.1357326083	0.9521158967
308	0.1356767589	0.9522656264
309	0.1356233413	0.9522656264
310	0.1355835131	0.9522983123
311	0.1355210224	0.9524152695
312	0.1354687501	0.9524736922
313	0.1353746792	0.9524666177
314	0.1353234306	0.9524666177
315	0.1352577142	0.9524339057
316	0.1352045468	0.9524666177
317	0.1350361026	0.952550491
318	0.1349289072	0.9525832279
319	0.1348588749	0.9526487379
320	0.1348185131	0.9526487379
321	0.1347892664	0.9526487379
322	0.1347322814	0.9526487379
323	0.1347045847	0.9526487379
324	0.1345898954	0.9525320779
325	0.1345041394	0.9524666177
326	0.1344681073	0.9524993417
327	0.1343996377	0.9525249413
328	0.1343580361	0.952674239
329	0.1343197811	0.9526414776
330	0.134262015	0.9527652501
331	0.1342363098	0.9528636804
332	0.1341192338	0.9529219183
333	0.1340737661	0.9529293615
334	0.1340726818	0.9528636804
335	0.134001931	0.9529950915
336	0.1339704224	0.9529293615
337	0.1338966894	0.9529293615
338	0.1338850118	0.9529876241
339	0.1338287233	0.9530204954
340	0.1337651483	0.9530129784
341	0.1336714972	0.9530711548
342	0.1336299199	0.9530382833
343	0.133586923	0.9531292944
344	0.1335349539	0.9531621904
345	0.1334953079	0.9530711548
346	0.1334592973	0.9530711548
347	0.1334281204	0.9531292944
348	0.1333472771	0.9531216173
349	0.1332702742	0.9531621904
350	0.1331973583	0.9532203055
351	0.133153756	0.953253226
352	0.13308173	0.9532861588
353	0.1330286885	0.9531950986
354	0.1329922122	0.9531950986
355	0.132917826	0.9531950986
356	0.1328980575	0.9532609519
357	0.1328790471	0.9532609519
358	0.1328290067	0.9533191038
359	0.1327460185	0.9532609519
360	0.132713871	0.9532609519
361	0.1326935717	0.9533191038
362	0.1326546386	0.9533191038
363	0.1326076535	0.9533772189
364	0.132559384	0.9534273875
365	0.1325408173	0.9534023276
366	0.1324701251	0.953468279
367	0.1323984957	0.9535342797
368	0.1323278952	0.9537084039
369	0.1322779991	0.9537663719
